Departamento,Municipio,Fecha del accidente,Año,Mes,Latitude,Longitude,Cod_dane_muni,Cod_dane_depto,Tipo de lugar,Presunto actor responsable,Tipo de área,Id_imsma evento,Condicion,Genero,Estado,Rango de edad,Actividad,Id_imsma_victima
Antioquia,Granada,2006-01-04 00:00:00,2006,1,6.143703,-75.185183,5313,5,Sin información,Desconocido,Rural,ACF_PP_2006_1644879,Civil,Hombre,Herido,Mayor de 18 años,"Pasando, estando cerca",VIC_PP_2006_5099
Caquetá,Montañita,2009-12-01 00:00:00,2009,12,1.49494421255,-75.4630895064,18410,18,Sin información,Desconocido,Rural,AFD_PP_2009_912,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2009_1352
Putumayo,Puerto asís,2008-04-30 00:00:00,2008,4,0.502569,-76.49818,86568,86,Sin información,Desconocido,Rural,AFD_PP_2008_914,Civil,Hombre,Muerto,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2008_1355
Córdoba,Puerto libertador,2009-11-21 00:00:00,2009,11,7.883545,-75.670508,23580,23,Sin información,Desconocido,Rural,AFD_PP_2009_915,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2009_1356
Córdoba,Puerto libertador,2009-11-21 00:00:00,2009,11,7.883545,-75.670508,23580,23,Sin información,Desconocido,Rural,AFD_PP_2009_915,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2009_1357
Córdoba,Puerto libertador,2009-11-21 00:00:00,2009,11,7.883545,-75.670508,23580,23,Sin información,Desconocido,Rural,AFD_PP_2009_915,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2009_1358
Córdoba,Puerto libertador,2009-11-21 00:00:00,2009,11,7.883545,-75.670508,23580,23,Sin información,Desconocido,Rural,AFD_PP_2009_915,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2009_1359
Nariño,Barbacoas,2010-01-20 14:00:00,2010,1,1.5875,-78.2275,52079,52,Sin información,ELN,Rural,AFD_EIN_2010_917,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_EIN_2010_1361
Antioquia,Tarazá,2010-01-22 17:30:00,2010,1,7.372777777777777,-75.20444444444445,5790,5,Sin información,FARC,Rural,AFD_EIN_2010_919,Fuerza pública,Hombre,Herido,Mayor de 18 años,Fuerza pública,VIC_EIN_2010_1363
Antioquia,Valdivia,2008-03-06 00:00:00,2008,3,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2008_920,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2008_1364
Cauca,Toribío,2009-08-31 10:00:00,2009,8,2.955399,-76.268615,19821,19,Cerca de un edificio residencial,Desconocido,Rural,AFD_PP_2009_750,Civil,Hombre,Muerto,Menor de 18 años,Sin Información,VIC_PP_2009_1117
Antioquia,Valdivia,2008-03-06 00:00:00,2008,3,7.165222,-75.438081,5854,5,Sin información,Desconocido,Rural,AFD_PP_2008_920,Civil,Hombre,Herido,Mayor de 18 años,Erradicador manual - PCI,VIC_PP_2008_1365
